indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
1652,KL6B7875B4,Emma de Vries,emma.de vries546@hotmail.com,0617145375,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-20,
1653,KL21968CD2,Finn Smit,finn.smit33@hotmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-25,
1654,KL787263BD,Julia de Boer,julia.de boer496@gmail.com,0664179427,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,app,Strijp,Halve Maan,,Team Sociaal Domein,0,2025-02-08,
1655,KL361A37FA,Finn Smit,finn.smit543@gmail.com,0651109924,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,telefoon,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-20,
1656,KL129C0714,Noah de Vries,noah.de vries506@hotmail.com,0666740429,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,app,Woensel Noord,Ontginning,Ontevreden,Team Handhaving,0,2025-02-18,16.0
1657,KL771290C6,Mila Bakker,,0687614607,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Openstaand,formulier,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-24,
1658,KL393AFB21,Mila Meijer,mila.meijer184@hotmail.com,0679599648,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,telefoon,Strijp,Halve Maan,,Team Reiniging,0,2025-02-19,
1659,KL49CE2020,Sophie van Dijk,,0617189091,Vandalisme,Graffiti,10 dagen,Openstaand,app,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-12,
1660,KL17CEA877,Sophie Koster,sophie.koster295@gmail.com,0653673175,Groenvoorziening,Omgevallen boom,2 dagen,Afgehandelde klacht,telefoon,Strijp,Oud-Strijp,Ontevreden,Team Groenvoorziening,0,2025-02-17,20.0
1661,KL8E1F8F43,Noah Smit,noah.smit701@hotmail.com,0642817165,Afval en reiniging,Verstopte putten,3 dagen,Heropend,telefoon,Centrum,Fellenoord,,Team Reiniging,0,2025-02-04,
1662,KLFAED8C12,Daan Visser,daan.visser546@hotmail.com,0692919643,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Centrum,TU-terrein,,Team Handhaving,0,2025-02-01,
1663,KLACEC43DF,Sophie Meijer,sophie.meijer740@outlook.com,0699152749,Dieren,Dode of gewonde dieren - op straat,1 dag,Afgehandelde klacht,telefoon,Tongelre,De Laak,Neutraal,Team Handhaving,0,2025-02-21,1.0
1664,KL99114CDC,Sara Meijer,,0693981752,Vandalisme,Graffiti,10 dagen,Openstaand,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-11,
1665,KLA186FA23,Julia van Dijk,julia.van dijk710@gmail.com,0696594946,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,internet,Centrum,De Bergen,,Team Sociaal Domein,0,2025-01-28,
1666,KLA5122401,Noah Smit,noah.smit85@outlook.com,0653471903,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Heropend,app,Gestel,Rozenknopje,,Team Sociaal Domein,0,2025-02-06,
1667,KL969376E7,Liam van Dijk,liam.van dijk742@gmail.com,0624269249,Spelen en sport,Vervuiling sportveld,7 dagen,Geannuleerd,telefoon,Stratum,Kortonjo,,Team Handhaving,1,2025-01-30,
1668,KL4C894B2F,Daan Koster,daan.koster576@outlook.com,0627227481,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Afgehandelde klacht,formulier,Gestel,Oud Kasteel,Neutraal,Team Handhaving,0,2025-02-18,5.0
1669,KLAE1C75E6,Emma Smit,emma.smit206@voorbeeld.nl,0645420229,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Handhaving,0,2025-02-20,
1670,KLB940E621,Liam Smit,liam.smit204@gmail.com,0673759576,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Openstaand,internet,Tongelre,De Laak,,Team Handhaving,0,2025-02-16,
1671,KL3DF7F651,Julia de Vries,julia.de vries231@outlook.com,0612253484,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,internet,Woensel Noord,Dommelbeemd,Neutraal,Team Reiniging,0,2025-02-02,2.0
1672,KL325C4A0C,Mila van Dijk,mila.van dijk306@gmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-18,
1673,KLDAAF198D,Julia de Vries,julia.de vries938@hotmail.com,0640506011,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Geannuleerd,telefoon,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-20,
1674,KL31969522,Finn de Boer,finn.de boer446@hotmail.com,0675882594,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Woensel Noord,Dommelbeemd,Zeer tevreden,Team Reiniging,0,2025-01-30,14.0
1675,KL986F9874,Noah Meijer,noah.meijer204@voorbeeld.nl,0652312524,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,formulier,Woensel Zuid,Erp,,Team Verlichting,0,2025-02-05,
1676,KL869053A5,Mila Koster,mila.koster779@gmail.com,0638992264,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Gestel,Oud-Gestel,,Team Reiniging,0,2025-02-22,
1677,KL9598707F,Finn Jansen,finn.jansen837@hotmail.com,0672981626,Vandalisme,Graffiti,10 dagen,In behandeling,onbekend,Stratum,Kortonjo,,Team Handhaving,0,2025-01-31,
1678,KLDB5273BD,Emma de Boer,emma.de boer218@voorbeeld.nl,0663041350,Dieren,Overlast door dieren,7 dagen,Afgehandelde klacht,internet,Stratum,Putten,Ontevreden,Team Handhaving,0,2025-02-19,11.0
1679,KL4E356FB3,Emma Visser,emma.visser295@gmail.com,0664570901,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,telefoon,Woensel Noord,Dommelbeemd,,Team Verlichting,0,2025-02-12,
1680,KL66A2AF57,Tess Jansen,tess.jansen735@gmail.com,0668966356,Spelen en sport,Vervuiling sportveld,7 dagen,In behandeling,telefoon,Woensel Noord,Achtse Molen,,Team Spelen & Sport,0,2025-02-21,
1681,KL226FE6F5,Finn Meijer,finn.meijer127@hotmail.com,0618459132,Vandalisme,Beschadigde objecten,5 dagen,Heropend,app,Centrum,Fellenoord,,Team Handhaving,0,2025-02-19,
1682,KLC0F629FB,Tess van Dijk,tess.van dijk233@gmail.com,0658697735,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Strijp,Halve Maan,,Team Reiniging,0,2025-01-30,
1683,KLE67658F3,Tess Visser,tess.visser212@outlook.com,0634421472,Groenvoorziening,Overhangend groen,14 dagen,Openstaand,telefoon,Centrum,De Bergen,,Team Groenvoorziening,0,2025-02-26,
1684,KL73B4336B,Sophie Meijer,sophie.meijer927@outlook.com,0689796838,Woningtoezicht,Achterstallig onderhoud,10 dagen,Geannuleerd,app,Stratum,Putten,,Team Verlichting,1,2025-02-07,
1685,KL73B1B4F7,Noah Koster,noah.koster349@gmail.com,0678871311,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,In behandeling,app,Centrum,De Bergen,,Team Sociaal Domein,0,2025-01-29,
1686,KLFB1EC2A2,Liam de Vries,liam.de vries342@gmail.com,,Vandalisme,Beschadigde objecten,5 dagen,In behandeling,onbekend,Strijp,Meerhoven,,Team Handhaving,0,2025-02-05,
1687,KL6B74E50F,Noah Mulder,noah.mulder50@hotmail.com,0683709496,Woningtoezicht,Achterstallig onderhoud,10 dagen,Heropend,internet,Woensel Zuid,Erp,,Team Bouw & Toezicht,0,2025-02-12,
1688,KL2F5CDC99,Sophie Bakker,sophie.bakker127@gmail.com,0617310384,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Heropend,app,Centrum,De Bergen,,Team Sociaal Domein,0,2025-02-22,
1689,KLF928E5E2,Julia Mulder,julia.mulder500@gmail.com,0662410099,Jeugdzorg,Kindermishandeling (melding),1 dag,Afgehandelde klacht,app,Gestel,Rozenknopje,Neutraal,Team Sociaal Domein,0,2025-01-28,1.0
1690,KL0F4A8530,Finn Jansen,finn.jansen356@hotmail.com,0694788085,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,telefoon,Tongelre,Oud-Tongelre,,Team Bouw & Toezicht,1,2025-02-21,
1691,KL986C4222,Emma Mulder,emma.mulder479@hotmail.com,0623418222,Straatverlichting,Lantaarnpaal kapot,10 dagen,Geannuleerd,app,Centrum,Witte Dame,,Team Verlichting,0,2025-02-12,
1692,KLAAFE7B0B,Emma Bakker,emma.bakker707@outlook.com,0621426673,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Afgehandelde klacht,app,Stratum,Putten,Ontevreden,Team Handhaving,0,2025-02-06,10.0
1693,KLA70D09D9,Mila Visser,mila.visser858@hotmail.com,0698345468,Groenvoorziening,Overhangend groen,14 dagen,Geannuleerd,app,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-15,
1694,KL80B931E7,Liam de Vries,liam.de vries672@voorbeeld.nl,0657552839,Bouwvergunning,Illegale aanbouw,14 dagen,Geannuleerd,internet,Gestel,Oud Kasteel,,Team Bouw & Toezicht,0,2025-02-24,
1695,KL2F607E8C,Daan Bakker,daan.bakker792@hotmail.com,0616108288,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Centrum,Fellenoord,,Team Verlichting,0,2025-02-26,
1696,KL4374D446,Tess de Vries,,0629721038,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,In behandeling,telefoon,Centrum,Binnenstad,,Team Handhaving,0,2025-02-23,
1697,KL1862D133,Sara de Boer,sara.de boer163@hotmail.com,,Groenvoorziening,Overhangend groen,14 dagen,Geannuleerd,internet,Tongelre,Oud-Tongelre,,Team Groenvoorziening,0,2025-02-15,
1698,KL7DB466EB,Sara van Dijk,sara.van dijk678@hotmail.com,0665081117,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,telefoon,Gestel,Rozenknopje,Tevreden,Team Reiniging,0,2025-02-24,12.0
1699,KLECD77F80,Emma Meijer,emma.meijer495@hotmail.com,0626890382,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-25,
1700,KLD043C0BF,Liam Visser,liam.visser457@outlook.com,0632063157,Jeugdzorg,Ondersteuning bij opvoeding,14 dagen,Geannuleerd,internet,Centrum,De Bergen,,Team Sociaal Domein,0,2025-01-31,
1701,KL5526FCAA,Daan Koster,daan.koster747@voorbeeld.nl,0682852291,Groenvoorziening,Overhangend groen,14 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Groenvoorziening,0,2025-02-15,
1702,KL61950F60,Mila van Dijk,mila.van dijk18@hotmail.com,0668495374,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,internet,Centrum,Witte Dame,,Team Wegen & Verkeer,0,2025-02-04,
1703,KLB860AF7C,Finn de Boer,,,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Woensel Noord,Ontginning,,Team Wegen & Verkeer,0,2025-02-11,
1704,KL4223E6D8,Sophie de Vries,sophie.de vries99@outlook.com,0625313738,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,app,Tongelre,De Laak,,Team Handhaving,0,2025-02-22,
1705,KL726B4476,Emma Smit,emma.smit547@hotmail.com,0646600839,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Geannuleerd,internet,Woensel Noord,Aanschot,,Team Sociaal Domein,0,2025-02-25,
1706,KL00538A9D,Sophie Meijer,,0658379368,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Geannuleerd,app,Strijp,Oud-Strijp,,Team Wegen & Verkeer,0,2025-02-25,
1707,KLEEED21DA,Daan van Dijk,daan.van dijk277@gmail.com,0639769736,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Ontevreden,Team Reiniging,0,2025-02-04,3.0
1708,KL728087F5,Julia de Vries,julia.de vries60@outlook.com,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Centrum,TU-terrein,,Team Reiniging,0,2025-02-09,
1709,KL6B6D7E3C,Sara Bakker,sara.bakker321@gmail.com,0690421061,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,telefoon,Tongelre,De Laak,,Team Reiniging,0,2025-02-06,
1710,KL951A2ED7,Sophie Koster,sophie.koster543@gmail.com,0611073577,Groenvoorziening,Overhangend groen,14 dagen,Afgehandelde klacht,app,Centrum,De Bergen,Ontevreden,Team Groenvoorziening,0,2025-02-04,4.0
1711,KL896E4B14,Daan Bakker,daan.bakker129@gmail.com,0666495313,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,app,Gestel,Oud Kasteel,Ontevreden,Team Handhaving,0,2025-02-14,10.0
1712,KLEB3A4DAC,Tess Bakker,tess.bakker737@voorbeeld.nl,0689719802,Bouwvergunning,Overlast door projecten,7 dagen,In behandeling,app,Stratum,Kortonjo,,Team Bouw & Toezicht,0,2025-02-22,
1713,KL0B4F2EBA,Daan Jansen,,0677719925,Openbaar vervoer,Beschadigde haltes,7 dagen,Afgehandelde klacht,internet,Strijp,Meerhoven,Neutraal,Team Verlichting,1,2025-02-10,10.0
1714,KL703DEC23,Liam Meijer,liam.meijer119@hotmail.com,0613486695,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Afgehandelde klacht,app,Woensel Zuid,Oud-Woensel,Ontevreden,Team Wegen & Verkeer,0,2025-01-29,19.0
1715,KLB26F3DB5,Tess Bakker,tess.bakker191@hotmail.com,0652237544,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Stratum,Putten,,Team Handhaving,0,2025-02-25,
1716,KL2A4549E3,Julia van Dijk,julia.van dijk436@gmail.com,0627582597,Jeugdzorg,Kindermishandeling (melding),1 dag,Afgehandelde klacht,internet,Woensel Noord,Dommelbeemd,Ontevreden,Team Sociaal Domein,0,2025-02-04,16.0
1717,KL27A18C29,Sara Jansen,sara.jansen930@outlook.com,0657335545,Groenvoorziening,Onkruidbestrijding,14 dagen,Afgehandelde klacht,app,Strijp,Oud-Strijp,Tevreden,Team Groenvoorziening,0,2025-01-29,15.0
1718,KL66F021E7,Daan Bakker,,0631697350,Spelen en sport,Vervuiling sportveld,7 dagen,Geannuleerd,app,Gestel,Oud Kasteel,,Team Spelen & Sport,0,2025-02-13,
1719,KL256D9CD6,Emma Smit,emma.smit454@outlook.com,0697350875,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,formulier,Woensel Zuid,Oud-Woensel,Ontevreden,Team Reiniging,0,2025-02-16,9.0
1720,KL217322E7,Tess Jansen,tess.jansen396@gmail.com,0625254489,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,onbekend,Stratum,Oud-Stratum,,Team Verlichting,0,2025-02-17,
1721,KLB65180C8,Julia Mulder,julia.mulder843@hotmail.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,telefoon,Stratum,Kortonjo,,Team Reiniging,0,2025-02-05,
1722,KLA671F357,Emma Smit,emma.smit172@hotmail.com,0650213559,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Heropend,app,Strijp,Meerhoven,,Team Wegen & Verkeer,0,2025-02-04,
1723,KL1551F690,Finn de Vries,finn.de vries371@hotmail.com,,Groenvoorziening,Onkruidbestrijding,14 dagen,Geannuleerd,app,Gestel,Oud-Gestel,,Team Groenvoorziening,0,2025-02-08,
1724,KL48DE4299,Daan Jansen,,0645758844,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Woensel Zuid,Oud-Woensel,Ontevreden,Team Reiniging,0,2025-02-16,13.0
1725,KL7ABDC867,Mila Jansen,,0655472992,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,internet,Tongelre,De Laak,Zeer ontevreden,Team Reiniging,0,2025-02-24,17.0
1726,KLA8FDC5F0,Daan de Vries,,0615522889,Verkeer en wegen,Gat in de weg,5 dagen,Openstaand,telefoon,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-02-03,
1727,KLFCBB4217,Liam de Vries,liam.de vries164@hotmail.com,0634569660,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Reiniging,0,2025-02-23,2.0
1728,KL4B44B447,Noah Visser,noah.visser398@outlook.com,0658358961,Groenvoorziening,Onkruidbestrijding,14 dagen,Heropend,app,Gestel,Oud-Gestel,,Team Groenvoorziening,0,2025-02-08,
1729,KL2BE78D93,Julia Koster,,0693918712,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Gestel,Oud-Gestel,Ontevreden,Team Reiniging,0,2025-02-10,19.0
1730,KLE84B2F45,Finn de Boer,finn.de boer616@gmail.com,0672650645,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,internet,Tongelre,De Laak,,Team Reiniging,0,2025-02-09,
1731,KL6E9E8E3D,Tess Meijer,,0619707107,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Verlichting,0,2025-02-12,
1732,KL4A48EAA0,Julia Visser,julia.visser543@hotmail.com,0613622764,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Gestel,Oud-Gestel,Ontevreden,Team Reiniging,0,2025-02-23,7.0
1733,KLBB32F563,Finn Koster,finn.koster815@gmail.com,0639219750,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,app,Stratum,Kortonjo,,Team Reiniging,0,2025-02-12,
1734,KLC0C56E68,Noah van Dijk,noah.van dijk436@hotmail.com,0650335262,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Centrum,Binnenstad,,Team Handhaving,1,2025-02-25,
1735,KL5743A2C0,Sophie Visser,sophie.visser468@hotmail.com,0682402377,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Geannuleerd,internet,Centrum,De Bergen,,Team Wegen & Verkeer,0,2025-02-17,
1736,KL2E48BB8F,Daan Jansen,daan.jansen999@outlook.com,0633236288,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),In behandeling,app,Strijp,Meerhoven,,Team Handhaving,0,2025-02-21,
1737,KL1835F514,Finn Mulder,finn.mulder993@gmail.com,0636705981,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Openstaand,app,Centrum,De Bergen,,Team Wegen & Verkeer,0,2025-02-17,
1738,KL6F549E84,Daan Smit,daan.smit645@gmail.com,0626427587,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,telefoon,Woensel Noord,Achtse Molen,,Team Sociaal Domein,1,2025-01-30,
1739,KL08F1CBF7,Liam Visser,liam.visser268@outlook.com,0653838822,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Heropend,telefoon,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-16,
1740,KL2D07F4FB,Julia Visser,julia.visser200@voorbeeld.nl,,Groenvoorziening,Omgevallen boom,2 dagen,In behandeling,telefoon,Woensel Zuid,Erp,,Team Groenvoorziening,0,2025-02-23,
1741,KL63C3A2EA,Julia Meijer,julia.meijer438@hotmail.com,0629464539,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,formulier,Tongelre,Oud-Tongelre,,Team Spelen & Sport,0,2025-02-15,
1742,KL3D7F130F,Noah de Boer,noah.de boer446@gmail.com,0633745588,Groenvoorziening,Onkruidbestrijding,14 dagen,Geannuleerd,app,Stratum,Oud-Stratum,,Team Groenvoorziening,0,2025-02-17,
1743,KL5BD34A50,Finn Visser,finn.visser590@gmail.com,0621248652,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Geannuleerd,app,Centrum,Witte Dame,,Team Wegen & Verkeer,0,2025-02-14,
1744,KL77865EC9,Julia de Vries,julia.de vries817@hotmail.com,0653622890,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-18,
1745,KLE19547A8,Julia Visser,julia.visser596@gmail.com,0643002934,Verkeer en wegen,Gat in de weg,5 dagen,Openstaand,app,Gestel,Rozenknopje,,Team Wegen & Verkeer,0,2025-01-30,
1746,KL2ABF08B4,Sara de Boer,sara.de boer211@gmail.com,0624944102,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-10,
1747,KL618C3799,Sophie Bakker,sophie.bakker797@outlook.com,0669230681,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,In behandeling,formulier,Woensel Zuid,Begijnenbroek,,Team Sociaal Domein,0,2025-02-03,
1748,KL727FB091,Tess Meijer,tess.meijer521@voorbeeld.nl,0680835847,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Openstaand,app,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-01-29,
1749,KL0F4F2107,Daan de Vries,daan.de vries661@hotmail.com,0669975925,Woningtoezicht,Ongedierte,5 dagen,In behandeling,app,Tongelre,De Laak,,Team Wegen & Verkeer,1,2025-02-04,
1750,KLFC736356,Julia Mulder,julia.mulder495@hotmail.com,0627092096,Vandalisme,Beschadigde objecten,5 dagen,Openstaand,internet,Woensel Noord,Aanschot,,Team Handhaving,0,2025-01-29,
1751,KL0A6BFB66,Julia Smit,julia.smit315@gmail.com,0653152868,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,formulier,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-03,
1752,KLF1B2BDE2,Liam Smit,liam.smit316@hotmail.com,0680609143,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Centrum,TU-terrein,,Team Reiniging,0,2025-02-22,
1753,KL56808FDB,Sara de Boer,sara.de boer453@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Geannuleerd,app,Woensel Zuid,Oud-Woensel,,Team Handhaving,0,2025-02-14,
1754,KL55949035,Sophie de Vries,,0665214779,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,In behandeling,app,Gestel,Rozenknopje,,Team Wegen & Verkeer,0,2025-02-17,
1755,KLE3061A36,Sara de Boer,sara.de boer808@hotmail.com,0631807074,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,internet,Tongelre,De Laak,Zeer tevreden,Team Reiniging,0,2025-01-30,15.0
1756,KL5E0B890E,Mila Koster,mila.koster170@gmail.com,0662097607,Geluidsoverlast,Horeca,7 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-22,
1757,KL0282B09B,Liam de Boer,,0692741685,Openbaar vervoer,Klacht over dienstverlening,5 dagen,In behandeling,app,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-02-22,
1758,KL0348278C,Daan Koster,daan.koster562@gmail.com,0636341218,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,telefoon,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-17,
1759,KL5820F862,Noah de Boer,noah.de boer233@outlook.com,0618682038,Vandalisme,Beschadigde objecten,5 dagen,In behandeling,onbekend,Tongelre,Oud-Tongelre,,Team Handhaving,0,2025-02-01,
1760,KL9D0F16FF,Daan Smit,,0654493489,Verkeer en wegen,Losliggende stoeptegel,10 dagen,In behandeling,telefoon,Stratum,Oud-Stratum,,Team Wegen & Verkeer,0,2025-02-24,
1761,KL04D8F8BF,Sophie Bakker,sophie.bakker52@hotmail.com,0691997148,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,telefoon,Woensel Zuid,Oud-Woensel,,Team Verlichting,0,2025-01-28,
1762,KL9E4CD88D,Noah Visser,noah.visser291@outlook.com,0626392951,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Openstaand,app,Woensel Zuid,Erp,,Team Wegen & Verkeer,0,2025-02-21,
1763,KLA4ADD650,Liam Visser,liam.visser544@voorbeeld.nl,0620110331,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,internet,Stratum,Oud-Stratum,Zeer ontevreden,Team Bouw & Toezicht,0,2025-02-23,20.0
1764,KLD90ACC0D,Julia Bakker,julia.bakker194@voorbeeld.nl,,Dieren,Overlast door dieren,7 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-11,
1765,KL63959B60,Julia de Vries,julia.de vries248@outlook.com,0689240490,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-06,
1766,KL9C511E02,Tess Koster,tess.koster663@hotmail.com,0668619106,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Geannuleerd,telefoon,Tongelre,De Laak,,Team Handhaving,0,2025-02-18,
1767,KL15D2DCDD,Tess van Dijk,tess.van dijk475@voorbeeld.nl,0658330214,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,app,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-01-31,
1768,KL804486FC,Julia Koster,julia.koster57@voorbeeld.nl,0651539285,Bouwvergunning,Illegale aanbouw,14 dagen,Openstaand,telefoon,Centrum,De Bergen,,Team Bouw & Toezicht,0,2025-02-05,
1769,KL58EC29AA,Noah de Vries,noah.de vries765@hotmail.com,0654342080,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,app,Woensel Noord,Achtse Molen,Ontevreden,Team Spelen & Sport,0,2025-02-14,8.0
1770,KLC27E68FB,Sara Meijer,sara.meijer328@outlook.com,0627238389,Dieren,Overlast door dieren,7 dagen,Openstaand,app,Tongelre,De Laak,,Team Handhaving,0,2025-02-16,
1771,KL717AB9E1,Daan Visser,daan.visser608@hotmail.com,0643967518,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Heropend,app,Gestel,Oud-Gestel,,Team Sociaal Domein,0,2025-02-22,
1772,KLBBF40294,Sara Jansen,sara.jansen362@gmail.com,0660321016,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Heropend,telefoon,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-03,
1773,KL49AED4A9,Liam Jansen,liam.jansen939@hotmail.com,0612695502,Jeugdzorg,Kindermishandeling (melding),1 dag,Afgehandelde klacht,telefoon,Centrum,De Bergen,Neutraal,Team Sociaal Domein,0,2025-02-06,6.0
1774,KLF3CB4DC5,Emma Jansen,emma.jansen441@hotmail.com,0678523735,Bouwvergunning,Illegale aanbouw,14 dagen,Afgehandelde klacht,internet,Stratum,Oud-Stratum,Ontevreden,Team Bouw & Toezicht,0,2025-02-18,12.0
1775,KL872E46F7,Sophie Bakker,sophie.bakker954@hotmail.com,0650882497,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-17,
1776,KLEBF5A674,Sophie Meijer,sophie.meijer174@gmail.com,0621421237,Jeugdzorg,Kindermishandeling (melding),1 dag,In behandeling,app,Strijp,Oud-Strijp,,Team Sociaal Domein,0,2025-02-12,
1777,KL17EC1136,Emma Smit,emma.smit155@gmail.com,0696512403,Verkeer en wegen,Losliggende stoeptegel,10 dagen,In behandeling,app,Woensel Noord,Ontginning,,Team Handhaving,1,2025-02-21,
